Date,Volume,Name
2020-12-16,98.20859,AAPL
2020-12-15,157.5723,AAPL
2020-12-14,79.07599,AAPL
2020-12-11,86.93979,AAPL
2020-12-10,81.31217,AAPL
2020-12-09,115.0892,AAPL
2020-12-08,82.22551,AAPL
2020-12-07,86.71199,AAPL
2020-12-04,78.26042,AAPL
2020-12-03,78.96763,AAPL
2020-12-02,89.0042,AAPL
2020-12-01,128.1668,AAPL
2020-11-30,169.4102,AAPL
2020-11-27,46.69133,AAPL
2020-11-25,76.49923,AAPL
2020-11-24,113.8742,AAPL
2020-11-23,127.9593,AAPL
2020-11-20,73.60429,AAPL
2020-11-19,74.11297,AAPL
2020-11-18,76.32211,AAPL
2020-11-17,74.27097,AAPL
2020-11-16,91.18302,AAPL
2020-11-13,81.68859,AAPL
2020-11-12,103.3507,AAPL
2020-11-11,112.295,AAPL
2020-11-10,138.0234,AAPL
2020-11-09,154.5153,AAPL
2020-11-06,114.4579,AAPL
2020-11-05,126.3871,AAPL
2020-11-04,138.2355,AAPL
2020-11-03,107.6244,AAPL
2020-11-02,122.8669,AAPL
2020-10-30,190.5735,AAPL
2020-10-29,146.1292,AAPL
2020-10-28,143.9378,AAPL
2020-10-27,92.27677,AAPL
2020-10-26,111.8507,AAPL
2020-10-23,82.57265,AAPL
2020-10-22,101.988,AAPL
2020-10-21,89.94598,AAPL
2020-10-20,124.4237,AAPL
2020-10-19,120.6393,AAPL
2020-10-16,115.3938,AAPL
2020-10-15,112.5592,AAPL
2020-10-14,151.0623,AAPL
2020-10-13,262.3305,AAPL
2020-10-12,240.2268,AAPL
2020-10-09,100.5069,AAPL
2020-10-08,83.47715,AAPL
2020-10-07,96.84899,AAPL
2020-10-06,161.4982,AAPL
2020-10-05,106.2438,AAPL
2020-10-02,144.712,AAPL
2020-10-01,116.1204,AAPL
2020-09-30,142.6752,AAPL
2020-09-29,100.0605,AAPL
2020-09-28,137.6724,AAPL
2020-09-25,149.9814,AAPL
2020-09-24,167.7433,AAPL
2020-09-23,150.7187,AAPL
2020-09-22,183.0554,AAPL
2020-09-21,195.7138,AAPL
2020-09-18,287.1049,AAPL
2020-09-17,178.011,AAPL
2020-09-16,155.0267,AAPL
2020-09-15,184.642,AAPL
2020-09-14,140.1501,AAPL
2020-09-11,180.8603,AAPL
2020-09-10,182.2744,AAPL
